NOT FOUND,a-size-base,a-link-normal href,a-link-normal href 2,a-size-base 2,a-link-normal href 3,a-size-base 3
NOT FOUND,Band Colour,,,,,
NOT FOUND,Dial Colour,,,,,
NOT FOUND,Watch Style,,,,,
FOUND,Casual,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_sixteen_browse-bin%3A5756153031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=5756152031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_sixteen_browse-bin_1&ds=v1%3AXbUiURDo4L111PEhXEbK5Hn1sl17s7wyiKIbPrnzRTg,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_sixteen_browse-bin%3A5756155031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=5756152031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_sixteen_browse-bin_2&ds=v1%3ARM1Lw1UTxDuuBgugoCgdHDLF7Kv6qvrEgMNo8d7brM4,Fashion,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_sixteen_browse-bin%3A5756157031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=5756152031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_sixteen_browse-bin_3&ds=v1%3AH%2B43yltOpVpoqdz5Fww7CuMklbISe1Pj4vpZjEywGq4,Sport
NOT FOUND,Band Width,,,,,
FOUND,Up to 9 mm,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_four_browse-bin%3A1663571031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663570031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_four_browse-bin_1&ds=v1%3AGMj0TMzdfeRi6gkbGbyCcKI%2FlW9Os0lR4D0RBiagbvU,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_four_browse-bin%3A1663573031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663570031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_four_browse-bin_2&ds=v1%3AUxdGEvv2luUIh459ilKJPdfmb5w8g%2FphRsFVVuuXpT4,20mm - 29mm,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_four_browse-bin%3A1663575031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663570031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_four_browse-bin_3&ds=v1%3Aq2NPhzk6MHxAKm57hlhvtvusULe%2BXgbSa3TdxHjwQGo,40mm & more
NOT FOUND,Case Shape,,,,,
FOUND,Round,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_style_browse-bin%3A1663600031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663597031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_style_browse-bin_1&ds=v1%3AqkFXBbNeFHdcoIQ%2BDTe6LlroRKPBlHr8DHSQCFKu9ng,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_style_browse-bin%3A1663601031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663597031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_style_browse-bin_2&ds=v1%3Ah0s0GYpaGcxcNtQ7HzmwiuKPnwgFZc2Sbh1EpJBGcDY,Square,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_style_browse-bin%3A1663599031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663597031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_style_browse-bin_3&ds=v1%3AzNMty3EVhQOUsLAhhMCCNgRcPUCe8IjiqA6QeNzLnrc,Rectangular
NOT FOUND,Case Material,,,,,
FOUND,Brass,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_material_two_browse-bin%3A1663583031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663582031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_material_two_browse-bin_1&ds=v1%3AnZ9llPd3C%2Fo0E%2BSqxmn8VG6P5r6OR00ALfb1KXyr2s8,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_material_two_browse-bin%3A1663591031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663582031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_material_two_browse-bin_2&ds=v1%3A%2FKEUTqZ9Bx28e8Orn4jIqoELVVJks5zn6ZBHvPp5S7E,Rubber,,
NOT FOUND,Case Diameter,,,,,
FOUND,30 mm - 39 mm,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_size_browse-bin%3A1663579031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663576031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_size_browse-bin_1&ds=v1%3Ax0LlFxeMCF3uOHZ1AtQJVtnSPshx9EqkXGG2xGstMBI,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_size_browse-bin%3A1663580031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663576031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_size_browse-bin_2&ds=v1%3AdXUkCL4%2FhcfvRV7kzyeKZIASjL9lGmUNMAuuIBhA1Fc,40 mm - 49 mm,,
NOT FOUND,Case Thickness,,,,,
FOUND,5 mm - 9 mm,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_eight_browse-bin%3A1663605031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663603031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_eight_browse-bin_1&ds=v1%3AQB%2Fxelg3AXAtTeMz5IYMn8Sp1gTkrF8TMH9pP3pC%2BdE,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_eight_browse-bin%3A1663606031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1663603031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_eight_browse-bin_2&ds=v1%3AN%2BL1wQlkbYob4anGQHwOeLqeWEKIfC8b8eXeBhOqTIU,10 mm - 14 mm,,
NOT FOUND,Water Resistance,,,,,
FOUND,30 m - 49 m,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_five_browse-bin%3A1480960031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1480893031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_five_browse-bin_1&ds=v1%3ABH4U2hRe8JiGgzXnIcp%2FyvkS5zvSyGPP6FZl8H0TcXU,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=n%3A1350387031%2Cp_n_feature_five_browse-bin%3A1480961031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1480893031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_feature_five_browse-bin_2&ds=v1%3ArrC7UdA7xnIxyj9uUdqGEbaLnQZgcVqgNTS%2FaMAdHbs,50 m - 99 m,,
NOT FOUND,Seller,,,,,
FOUND,Kartique®,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=p_6%3AA18UJ3V9BO1YUK&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1318474031&sprefix=%2Caps%2C237&ref=sr_nr_p_6_1&ds=v1%3AxuyTM%2BTW3TbLsDWHUkEaljpaGnmNGafuQ1uY7P%2Fnhtc,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=p_6%3AA1VXWWDQMN4HGH&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1318474031&sprefix=%2Caps%2C237&ref=sr_nr_p_6_2&ds=v1%3ASZgc9FnDpwPVzijvc6LTOwbcdMmtct3qp5yVeYtK6DQ,TCT TOYS,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=p_6%3AAUI2W651SZTSM&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1318474031&sprefix=%2Caps%2C237&ref=sr_nr_p_6_3&ds=v1%3AkaHJBAcxVY%2Bff%2FYsz3uDi8TF84OPARiKx%2FOf%2FsY0pRo,CHAMUNDA  ENTERPRISE_
NOT FOUND,Availability,,,,,
FOUND,Include Out of Stock,https://www.amazon.in/s?k=great+indian+festival&i=watches&rh=p_n_availability%3A1318485031&dc&crid=1I3OY9G5WVWBV&qid=1665755600&rnid=1318483031&sprefix=%2Caps%2C237&ref=sr_nr_p_n_availability_2&ds=v1%3AuJE%2BZMxEGKJGOfWoWjf7ELNM99bBxAnd2ygBs%2B7SnII,,,,
